COUR ANDRE; COUR ANDRE ;;;;
COUR ANDRIES; COUR ANDRIES ;;;;
COUR ANSART; COUR ANSART ;;;;
CITE BACQUET; CITE BACQUET ;;;;
CITE BAILLEUX; CITE BAILLEUX ;;;;
COUR BARGE; COUR BARGE ;;;;
CITE BASSELART; CITE BASSELART ;;;;
CITE BAUDUIN; CITE BAUDUIN ;;;;
COUR BECU; COUR BECU ;;;;
COUR BECUVE; COUR BECUVE ;;;;
COUR BEFFE; COUR BEFFE ;;;;
COUR BENJAMIN; COUR BENJAMIN ;;;;
COUR BERROYER; COUR BERROYER ;;;;
CITE BERTHOU; CITE BERTHOU ;;;;
COUR BEUVAN; COUR BEUVAN ;;;;
COUR BILLET; COUR BILLET ;;;;
COUR BLANQUART; COUR BLANQUART ;;;;
COUR BLONDEAU; COUR BLONDEAU ;;;;
COUR BOHEM; COUR BOHEM ;;;;
COUR BOISSEAU; COUR BOISSEAU ;;;;
COUR BONNET; COUR BONNET ;;;;
COUR BONTE; COUR BONTE ;;;;
CITE BOQUILLON; CITE BOQUILLON ;;;;
COUR BOS; COUR BOS ;;;;
COUR BOUCQUEY; COUR BOUCQUEY ;;;;
COUR BRASSEUR; COUR BRASSEUR ;;;;
COUR BRIDELANCE; COUR BRIDELANCE ;;;;
COUR BRUNSWICK; COUR BRUNSWICK ;;;;
CITE BUISINE; CITE BUISINE ;;;;
COUR CACAN; COUR CACAN ;;;;
COUR CADO; COUR CADO ;;;;
COUR CAPART; COUR CAPART ;;;;
CITE CAPPE; CITE CAPPE ;;;;
COUR CARBONNET; COUR CARBONNET ;;;;
COUR CAROUBLE; COUR CAROUBLE ;;;;
COUR CASIER; COUR CASIER ;;;;
CITE CASSEVILLE; CITE CASSEVILLE ;;;;
COUR CAUCHE; COUR CAUCHE ;;;;
CITE CHANTRAINE; CITE CHANTRAINE ;;;;
CITE CHANZY; CITE CHANZY ;;;;
COUR CONSTANT; COUR CONSTANT ;;;;
COUR COPPIETERS; COUR COPPIETERS ;;;;
COUR COUTURIER; COUR COUTURIER ;;;;
COUR CROMBET; COUR CROMBET ;;;;
COUR CROMBEZ; COUR CROMBEZ ;;;;
CITE CRUSOE; CITE CRUSOE ;;;;
COUR CUVELLE; COUR CUVELLE ;;;;
COUR D'ANTIN; COUR D'ANTIN ;;;;
CITE D'ARRAS; CITE D'ARRAS ;;;;
CITE D'IENA; CITE D'IENA ;;;;
COUR DATHIS; COUR DATHIS ;;;;
CITE DE KEISER; CITE DE KEISER ;;;;
CITE DE L'ESPERANCE; CITE DE L'ESPERANCE ;;;;
COUR DE LA BELLE JARDINIERE; COUR DE LA BELLE JARDINIERE ;;;;
COUR DEBIL; COUR DEBIL ;;;;
COUR DEBOUT; COUR DEBOUT ;;;;
COUR DEBUCK; COUR DEBUCK ;;;;
COUR DEFAUX; COUR DEFAUX ;;;;
COUR DEFEVER; COUR DEFEVER ;;;;
COUR DEFONTAINE; COUR DEFONTAINE ;;;;
COUR DELATTRE; COUR DELATTRE ;;;;
COUR DELBAERE; COUR DELBAERE ;;;;
CITE DELCROIX; CITE DELCROIX ;;;;
CITE DELEBART; CITE DELEBART ;;;;
COUR DELEMAZURE; COUR DELEMAZURE ;;;;
CITE DELMAR; CITE DELMAR ;;;;
COUR DELRUE; COUR DELRUE ;;;;
COUR DELVA; COUR DELVA ;;;;
COUR DEMAIRE; COUR DEMAIRE ;;;;
COUR DEMAN; COUR DEMAN ;;;;
COUR DEMOY; COUR DEMOY ;;;;
CITE DERVILLE; CITE DERVILLE ;;;;
COUR DERWEZ; COUR DERWEZ ;;;;
COUR DES ITALIENS; COUR DES ITALIENS ;;;;
COUR DES NOIRS; COUR DES NOIRS ;;;;
CITE DES POSTES; CITE DES POSTES ;;;;
