ALBERT SAMAIN; ALBERT SAMAIN ;;;;;;;
ANTOINE WATTEAU; ANTOINE WATTEAU ;;;;;;;
BRACKE DESROUSSEAUX; BRACKE DESROUSSEAUX ; BRACKE DEROUSSEEAUX ;;;;;;
CAROLUS; CAROLUS ;;;;;;;
CHANTELOUP; CHANTELOUP ;;;;;;;
CLEMENTINE DEMAN; CLEMENTINE DEMAN ;;;;;;;
COIGNET; COIGNET ;;;;;;;
DE LA CHATAIGNERAIE; DE LA CHATAIGNERAIE ;;;;;;;
DE LA FILATURE; DE LA FILATURE ;;;;;;;
DE LA MARNE; DE LA MARNE ;;;;;;;
DE LA NAVETTE; DE LA NAVETTE ;;;;;;;
DE L ARCHERIE; DE L ARCHERIE ;;;;;;;
DE LIEGE; DE LIEGE ;;;;;;;
DES ACACIAS; DES ACACIAS ;;;;;;;
DES CHALANDS; DES CHALANDS ;;;;;;;
DES ERABLES; DES ERABLES ;;;;;;;
DES FONDEURS; DES FONDEURS ;;;;;;;
DES JARDINS; DES JARDINS ; LES JARDINS ;;;;;;
DES MARRONNIERS; DES MARRONNIERS ; DES MARONNIERS ;;;;;;
DES METIERS; DES METIERS ;;;;;;;
DES MOULEURS; DES MOULEURS ;;;;;;;
DES MOULINS; DES MOULINS ;;;;;;;
DES NOISETIERS; DES NOISETIERS ; DES NOISETTIERS ;;;;;;
DES PEUPLIERS; DES PEUPLIERS ;;;;;;;
DES TILLEULS; DES TILLEULS ;;;;;;;
DEWAS; DEWAS ;;;;;;;
DU CHEMIN VERT; DU CHEMIN VERT ;;;;;;;
DU PONT DE FLANDRES; DU PONT DE FLANDRES ;;;;;;;
GEORGE SAND; GEORGE SAND ;;;;;;;
GHISLAINE DE FELIGONDE; GHISLAINE DE FELIGONDE ;;;;;;;
GUYNEMER; GUYNEMER ; GUY NEMER ;;;;;;
JULES VERNE; JULES VERNE ; JULES VERNES ;;;;;;
LEON BLUM; LEON BLUM ;;;;;;;
LEONARD DE VINCI; LEONARD DE VINCI ;;;;;;;
MADELEINE MARTINACHE; MADELEINE MARTINACHE ;;;;;;;
MARIE-LEONIE VANHOUTTE; MARIE-LEONIE VANHOUTTE ;;;;;;;
MARIE-THERESE VICOT-LHERMITTE; MARIE-THERESE VICOT-LHERMITTE ;;;;;;;
REYSA BERNSON; REYSA BERNSON ; REYSA BERSON ;;;;;;
ROMAIN ROLLAND; ROMAIN ROLLAND ;;;;;;;
SIMONE DE BEAUVOIR; SIMONE DE BEAUVOIR ; SIMONE DE BEAUVOI ;;;;;;
ADOLPHE MAX; ADOLPHE MAX ;;;;;;;
ALBERT; ALBERT ;;;;;;;
ARTHUR NOTEBART; ARTHUR NOTEBART ;;;;;;;
BUTIN; BUTIN ;;;;;;;
CHARLES SAINT-VENANT; CHARLES SAINT-VENANT ; CHARLES SAINTVENANT ;;;;;;
DE BRETAGNE; DE BRETAGNE ;;;;;;;
DE DUNKERQUE; DE DUNKERQUE ;;;;;;;
DE LA DELIVRANCE; DE LA DELIVRANCE ;;;;;;;
DE LA REPUBLIQUE; DE LA REPUBLIQUE ;;;;;;;
DE LA ROSERAIE; DE LA ROSERAIE ;;;;;;;
DE LA ROTONDE; DE LA ROTONDE ;;;;;;;
DE L ARCHITECTE LOUIS CORDONNIER; DE L ARCHITECTE LOUIS CORDONNIER ; DE L ARCHITECTE L CORDONNIER ; DE L ARCHITECTE CORDONNIER ; ARCHITECTE CORDONNIER ; ARCHITECTE LOUIS CORDONNIER ; DE L ARCHITECT CORDONNIER ; DE L ARCHITECTE LUIS CORDONNIER ;
DE L EUROPE; DE L EUROPE ;;;;;;;
DE MONT A CAMP; DE MONT A CAMP ; DE MONTA CAMP ;;;;;;
DE MORMAL; DE MORMAL ; MORMAL ; DE MOMAL ;;;;;
DE MUY; DE MUY ;;;;;;;
DENIS CORDONNIER; DENIS CORDONNIER ;;;;;;;
DES LILAS; DES LILAS ;;;;;;;
DES MARTYRS; DES MARTYRS ;;;;;;;
DES SAULES; DES SAULES ;;;;;;;
DORCHIES; DORCHIES ;;;;;;;
DU PARC MONCEAU; DU PARC MONCEAU ;;;;;;;
DU PEUPLE BELGE; DU PEUPLE BELGE ;;;;;;;
DU PRESIDENT HOOVER; DU PRESIDENT HOOVER ;;;;;;;
DU PRESIDENT JOHN-FITZGERALD KENNEDY; DU PRESIDENT JOHN-FITZGERALD KENNEDY ; DU PDT J FITZGERALD KENNEDY ; DU PRESIDENT KENNEDY ; KENNEDY ;;;;
DURAY; DURAY ;;;;;;;
EMILE ZOLA; EMILE ZOLA ;;;;;;;
EUGENE VARLIN; EUGENE VARLIN ; EUGENE VERLIN ;;;;;;
FOCH; FOCH ;;;;;;;
GASTON BERGER; GASTON BERGER ;;;;;;;
JEAN MARIE FOSSIER; JEAN MARIE FOSSIER ;;;;;;;
LE CORBUSIER; LE CORBUSIER ;;;;;;;
LEO LAGRANGE; LEO LAGRANGE ;;;;;;;
LEON JOUHAUX; LEON JOUHAUX ;;;;;;;
LOUISE MICHEL; LOUISE MICHEL ;;;;;;;
MARIE-LOUISE DELWAULLE; MARIE-LOUISE DELWAULLE ;;;;;;;
MARX DORMOY; MARX DORMOY ; MAX DORMOY ;;;;;;
MATHIAS DELOBEL; MATHIAS DELOBEL ;;;;;;;
NELSON MANDELA; NELSON MANDELA ;;;;;;;
OSCAR LAMBRET; OSCAR LAMBRET ;;;;;;;
ROGER SALENGRO; ROGER SALENGRO ;;;;;;;
SALOMON; SALOMON ;;;;;;;
THOMAS MORE; THOMAS MORE ;;;;;;;
VERHAEREN; VERHAEREN ; VERHAEREN ;;;;;;
WILLY BRANDT; WILLY BRANDT ;;;;;;;
BIGO-DANEL; BIGO-DANEL ; BIGO DANEL ;;;;;;
CARNOT; CARNOT ;;;;;;;
D ALSACE; D ALSACE ;;;;;;;
DE BELFORT; DE BELFORT ; DE BELFORD ;;;;;;
DE LA LIBERTE; DE LA LIBERTE ;;;;;;;
DE LA LORRAINE; DE LA LORRAINE ;;;;;;;
DE LA MOSELLE; DE LA MOSELLE ;;;;;;;
DE LEEDS; DE LEEDS ;;;;;;;
DE L EPINE; DE L EPINE ;;;;;;;
DE L USINE; DE L USINE ;;;;;;;
DE METZ; DE METZ ;;;;;;;
DE STRASBOURG; DE STRASBOURG ; DE STRSBOURG ;;;;;;
DE TURIN; DE TURIN ;;;;;;;
DE VERDUN; DE VERDUN ;;;;;;;
DENIS PAPIN; DENIS PAPIN ; PAPIN ;;;;;;
DES CITES UNIES; DES CITES UNIES ;;;;;;;
DES DEFENSEURS DE LILLE; DES DEFENSEURS DE LILLE ;;;;;;;
DU DOCTEUR CALMETTE; DU DOCTEUR CALMETTE ; DE CALMETTE ; DE DOCTEUR CALMETTE ; DOCTEUR CALMETTE ;;;;
DU MARECHAL VAILLANT; DU MARECHAL VAILLANT ; MARECHAL VAILLANT ;;;;;;
DU PROFESSEUR JULES LECLERCQ; DU PROFESSEUR JULES LECLERCQ ;;;;;;;
EMILE DUBUISSON; EMILE DUBUISSON ;;;;;;;
EUGENE DUTHOIT; EUGENE DUTHOIT ;;;;;;;
JEAN-BAPTISTE LEBAS; JEAN-BAPTISTE LEBAS ; JEAN BAPTISTE LEBAS ; JEAN BATISTE LEBAS ; JEANBAPTISTE LEBAS ;;;;
LOUIS XIV; LOUIS XIV ;;;;;;;
MONTEBELLO; MONTEBELLO ;;;;;;;
PAUL PAINLEVE; PAUL PAINLEVE ;;;;;;;
VAUBAN; VAUBAN ;;;;;;;
DE LA FUNQUEE; DE LA FUNQUEE ;;;;;;;
BECU; BECU ;;;;;;;
DE BARGUES; DE BARGUES ;;;;;;;
DE LA COLLOSE; DE LA COLLOSE ;;;;;;;
DE LA COTONNIERE; DE LA COTONNIERE ;;;;;;;
DE SEQUEDIN; DE SEQUEDIN ;;;;;;;
DES BROUTTEUX; DES BROUTTEUX ; DES BROUTEUX ;;;;;;
DES MARGUERITOIS; DES MARGUERITOIS ; DES MARGUENTOIS ; DES MARGHERITOIS ;;;;;
DES TERRES OCRES; DES TERRES OCRES ;;;;;;;
DES VACHERS; DES VACHERS ;;;;;;;
DES WATTINETTES; DES WATTINETTES ;;;;;;;
DU BALLOT; DU BALLOT ;;;;;;;
DU BAZINGHIEN; DU BAZINGHIEN ; DE BAZINGHIEN ;;;;;;
DU PRIEURE; DU PRIEURE ;;;;;;;
DU ROMARIN; DU ROMARIN ;;;;;;;
LATERAL; LATERAL ;;;;;;;
LEHU; LEHU ;;;;;;;
LESCROART; LESCROART ;;;;;;;
BACQUET; BACQUET ;;;;;;;
BAUDUIN; BAUDUIN ;;;;;;;
BEFFE; BEFFE ;;;;;;;
BERTHOU; BERTHOU ;;;;;;;
BOQUILLON; BOQUILLON ;;;;;;;
BUISINE; BUISINE ;;;;;;;
CAPPE; CAPPE ;;;;;;;
CASSEVILLE; CASSEVILLE ;;;;;;;
CHANTRAINE; CHANTRAINE ;;;;;;;
CROMBET; CROMBET ;;;;;;;
CRUSOE; CRUSOE ;;;;;;;
D ARRAS; D ARRAS ;;;;;;;
DE KEISER; DE KEISER ;;;;;;;
DELEBART; DELEBART ;;;;;;;
DELMAR; DELMAR ;;;;;;;
DES POSTES; DES POSTES ; DES POSTE ;;;;;;
DES QUATRE CHEMINS; DES QUATRE CHEMINS ;;;;;;;
DUPONT; DUPONT ;;;;;;;
DUVINAGE; DUVINAGE ;;;;;;;
FAIDHERBE; FAIDHERBE ;;;;;;;
FAUCHILLE; FAUCHILLE ;;;;;;;
FRANCHOMME; FRANCHOMME ;;;;;;;
GALLOIS; GALLOIS ;;;;;;;
GOSSART; GOSSART ;;;;;;;
HOURRIEZ; HOURRIEZ ;;;;;;;
LAROY; LAROY ;;;;;;;
LECLERCQ; LECLERCQ ;;;;;;;
LEFEBVRE; LEFEBVRE ;;;;;;;
LENFANT; LENFANT ;;;;;;;
LETOMBE; LETOMBE ;;;;;;;
MASCART; MASCART ;;;;;;;
MENU; MENU ;;;;;;;
MONTHURY; MONTHURY ;;;;;;;
PALIN; PALIN ;;;;;;;
PESSE; PESSE ;;;;;;;
DE L OUEST; DE L OUEST ;;;;;;;
SAINT AUGUSTIN; SAINT AUGUSTIN ;;;;;;;
SAINT LOUIS; SAINT LOUIS ;;;;;;;
SAINTE ANNE; SAINTE ANNE ;;;;;;;
SAINTE MARIE; SAINTE MARIE ;;;;;;;
SAINT-MAURICE; SAINT-MAURICE ; SAINT MAURICE ;;;;;;
SAMAIN; SAMAIN ;;;;;;;
VAN DE WEGHE; VAN DE WEGHE ;;;;;;;
VANTORHOUDT; VANTORHOUDT ;;;;;;;
POTTIER; POTTIER ;;;;;;;
DE L HOTEL DE VILLE; DE L HOTEL DE VILLE ;;;;;;;
ANDRE; ANDRE ;;;;;;;
ANDRIES; ANDRIES ;;;;;;;
BARGE; BARGE ;;;;;;;
BECU; BECU ;;;;;;;
BECUVE; BECUVE ;;;;;;;
BEFFE; BEFFE ;;;;;;;
BENJAMIN; BENJAMIN ;;;;;;;
BILLET; BILLET ;;;;;;;
BLONDEAU; BLONDEAU ;;;;;;;
BOHEM; BOHEM ;;;;;;;
BOISSEAU; BOISSEAU ;;;;;;;
BONNET; BONNET ;;;;;;;
BONTE; BONTE ;;;;;;;
BOS; BOS ;;;;;;;
BOUCQUEY; BOUCQUEY ;;;;;;;
BRIDELANCE; BRIDELANCE ;;;;;;;
CACAN; CACAN ;;;;;;;
CADO; CADO ;;;;;;;
CARBONNET; CARBONNET ;;;;;;;
CAROUBLE; CAROUBLE ;;;;;;;
CASIER; CASIER ;;;;;;;
CAUCHE; CAUCHE ;;;;;;;
CONSTANT; CONSTANT ;;;;;;;
COPPIETERS; COPPIETERS ;;;;;;;
CROMBET; CROMBET ;;;;;;;
CROMBEZ; CROMBEZ ;;;;;;;
CUVELLE; CUVELLE ;;;;;;;
D ANTIN; D ANTIN ;;;;;;;
DE LA BELLE JARDINIERE; DE LA BELLE JARDINIERE ;;;;;;;
DE L AMBULANCE; DE L AMBULANCE ;;;;;;;
DE POLOGNE; DE POLOGNE ; DE LA POLOGNE ;;;;;;
DEBIL; DEBIL ;;;;;;;
DEBOUT; DEBOUT ;;;;;;;
DEBUCK; DEBUCK ;;;;;;;
DEFAUX; DEFAUX ;;;;;;;
DEFEVER; DEFEVER ;;;;;;;
DEFONTAINE; DEFONTAINE ;;;;;;;
DELATTRE; DELATTRE ;;;;;;;
DELBAERE; DELBAERE ;;;;;;;
DELRUE; DELRUE ;;;;;;;
DELVA; DELVA ;;;;;;;
DEMAIRE; DEMAIRE ;;;;;;;
DEMOY; DEMOY ;;;;;;;
DESCAMPS; DESCAMPS ;;;;;;;
DESWEZ; DESWEZ ;;;;;;;
DEWYT; DEWYT ;;;;;;;
DHAINE; DHAINE ;;;;;;;
D IENA; D IENA ;;;;;;;
DONZE; DONZE ;;;;;;;
DRUELLE; DRUELLE ;;;;;;;
DU CYGNE; DU CYGNE ;;;;;;;
DU VACHER; DU VACHER ;;;;;;;
DUBOIS; DUBOIS ;;;;;;;
DUPONT; DUPONT ;;;;;;;
FAGET; FAGET ;;;;;;;
FAIDHERBE; FAIDHERBE ;;;;;;;
FAVRELLE; FAVRELLE ;;;;;;;
FIEVET; FIEVET ;;;;;;;
FOURDIN; FOURDIN ;;;;;;;
FREMEAUX; FREMEAUX ;;;;;;;
FROMONT; FROMONT ;;;;;;;
GAUDIN; GAUDIN ;;;;;;;
GOURDIN; GOURDIN ;;;;;;;
GOUY; GOUY ;;;;;;;
GRUSON; GRUSON ;;;;;;;
GRUYELLE; GRUYELLE ;;;;;;;
ISBLED; ISBLED ;;;;;;;
JACQUERY; JACQUERY ;;;;;;;
JEAN-FRANCOIS CAIL; JEAN-FRANCOIS CAIL ;;;;;;;
JEANNE D ARC; JEANNE D ARC ; JEAN D ARC ;;;;;;
KINCKMANS; KINCKMANS ;;;;;;;
LANDAS; LANDAS ;;;;;;;
LE BARGY; LE BARGY ;;;;;;;
LEBLEU; LEBLEU ;;;;;;;
LECLERC; LECLERC ;;;;;;;
LECOQ; LECOQ ;;;;;;;
LEMIERE; LEMIERE ;;;;;;;
LENFANT; LENFANT ;;;;;;;
LEROUX; LEROUX ;;;;;;;
LONGPAS; LONGPAS ;;;;;;;
LOUBERT; LOUBERT ;;;;;;;
MALAKOFF; MALAKOFF ;;;;;;;
MATHURIN; MATHURIN ;;;;;;;
MEXICO; MEXICO ;;;;;;;
MIGNOT; MIGNOT ;;;;;;;
MODERNE; MODERNE ;;;;;;;
MONTAGNE; MONTAGNE ;;;;;;;
MORELLE; MORELLE ;;;;;;;
MOUTON BLANC; MOUTON BLANC ;;;;;;;
MULET; MULET ;;;;;;;
MULOT; MULOT ;;;;;;;
NARCISSE; NARCISSE ;;;;;;;
NEUVE; NEUVE ;;;;;;;
NOTRE DAME; NOTRE DAME ;;;;;;;
NOTRE-DAME; NOTRE-DAME ;;;;;;;
PECQUEUR; PECQUEUR ;;;;;;;
